#name	#KEGG Compound ID	G1_Z_1	G1_Z_2	G1_Z_3	G1_Z_4	G1_Z_5	G1_Z_6	G2_Z_1	G2_Z_2	G2_Z_3	G2_Z_4	G2_Z_5	G2_Z_6	G3_Z_1	G3_Z_2	G3_Z_3	G3_Z_4	G3_Z_5	G3_Z_6
Validamycin A	C12112	25.44363372	23.4191661	26.78593174	25.72116487	30.99198531	24.02191808	12.46539651	28.93832561	11.99129415	22.4807112	12.40514159	7.198437318	0	0	0	0	0	0
Allylestrenol	C12811	91.19058664	63.2980062	60.97830926	84.20121785	60.91772091	89.45137094	204.9293972	181.2350135	193.5157016	208.1017821	230.5326731	232.8130744	711.3510266	869.9843225	637.5802011	588.6317269	545.3393934	638.9658166
Proscillaridin	C12816	525.3350698	551.1756976	507.8022671	509.5479312	509.2143187	486.0276511	93.20271735	99.0848848	101.0024732	143.123827	146.6241875	121.2185517	106.5885217	162.1262951	181.8234249	193.4387817	41.1088723	126.4294814
Roxithromycin	C13173	825.7589891	820.951462	838.3221253	846.0520888	909.9139677	756.2644967	19.21747545	29.15131354	22.34568047	21.4056536	27.16149567	16.05968303	0	0	2.791527589	0	0	0
Atenolol	C13235	45.42570012	61.4966544	48.08140604	49.99255711	68.72708112	81.75446813	123.3755401	117.9584471	123.2391944	153.3656785	134.825902	101.4271553	187.2919226	138.4450633	126.8931989	135.7998875	74.31033812	139.1811545
Polidocanol	C13493	53.31124451	75.09789084	60.58796759	52.84364828	57.25592729	58.54363099	244.1637944	341.360967	235.8042193	271.1402215	228.0524331	268.1673476	1031.853418	958.4648778	899.7584761	1233.631117	750.0412685	842.6577341
Chromomycin a3	C13569	279.2173359	335.5775713	364.2783956	331.8846485	330.5029413	311.0599888	0	0	0	0	0	0	38.11950414	9.640085816	0	0	34.34527109	31.69213409
Lubiprostone	C13707	203.940377	178.984726	198.6134221	196.9484105	157.8500379	200.3021331	662.1640764	650.4503002	574.8781658	707.7129646	616.2540359	676.0417911	2300.674256	2630.549039	2721.05337	2329.724303	2442.854024	2941.550959
Domoic acid	C13732	131.7336837	125.219782	166.8958086	146.0941192	147.0442147	142.7100308	2.632758522	3.736172981	16.89214529	22.33432662	23.71570951	32.26774086	4.501816244	32.74882337	21.0158389	41.68620268	23.39947552	39.4847916
Octadecanamide	C13846	1785.866869	1647.19475	1386.326147	1931.761992	1655.351989	1538.469266	7638.619047	8175.950313	5743.568996	6726.037301	7483.405999	6733.790545	23313.99401	25188.43538	22138.19561	28627.22351	33073.05939	25400.30815
Undecylenic acid	C13910	55.95156396	44.62016528	45.21571605	70.3367056	58.94082952	51.89102028	174.4462703	159.5349789	81.33027148	163.4658625	189.2983215	112.7716282	522.045183	891.8239579	662.6275468	831.2347571	642.407433	676.3363772
Leucomycin a5	C14058	55.25884711	62.27065263	63.80873463	59.94026124	61.24260214	54.70392068	0	0	0	0	0	0	0	0	0	0	0	0
Leucomycin	C14064	25.95895438	24.46326641	24.90710796	18.98629581	28.48342144	34.43551468	0	0	0	0	0	0	0	0	0	0	0	0
Delta-Tocopherol	C14151	260.3995172	684.8708931	473.9414226	563.0575911	219.4175759	666.2365756	615.779482	557.1128282	1036.147324	971.4514182	840.6374459	1268.340613	618.8473547	664.5029023	436.0162692	284.602485	532.8495815	493.7020606
Methyltrienolone	C14257	239.3787688	226.4538197	227.0214299	159.2428508	234.9569929	210.4431315	22.17383325	38.04817164	42.18407143	38.47617612	62.89808952	31.29263539	78.90787169	142.1567939	116.0487115	45.12881768	41.7392948	68.44708569
Boldenone	C14502	446.4793152	395.9323682	318.8658446	356.7846064	378.6830458	390.0497751	1060.207676	1246.971827	1083.162299	1161.512181	927.4426478	1355.429425	5416.851798	4249.53746	3721.715523	4129.101694	5162.49833	4188.630402
